"song" "mix" "expert" "chal" "bpm_min" "bpm_max" "static_bpm" "gSP" "BSP" "DSP" "ESP" "CSP" "event" "gold"
"Dance Celebration" "X" 1 1 130 130 130 2 5 8 11 12 0 0
"Dance Celebration (System 7 Remix)" "X" 1 0 132 132 132 3 6 9 13 NA 0 0
"Dance Dance Revolution(X-Special)" "X" 0 1 150 150 150 NA NA NA NA 13 0 0
"Dance Floor" "X" 1 0 120 120 120 2 5 6 9 NA 0 0
"dazzle" "X" 1 0 98 98 98 2 4 8 10 NA 0 0
"Dream Machine" "X" 1 0 140 140 140 3 6 8 11 NA 0 0
"Flight of the Phoenix" "X" 1 1 145 145 145 2 5 7 9 7 0 0
"Flourish" "X" 1 0 152 153 152 3 5 8 10 NA 0 0
"Healing Vision(X-Special)" "X" 0 1 49 196 0 NA NA NA NA 14 0 0
"Horatio" "X" 1 1 165 165 165 2 4 9 15 15 0 0
"Inspiration" "X" 1 0 147 148 147 3 5 7 8 NA 0 0
"INTO YOUR HEART (Ruffage remix)" "X" 1 0 135 135 135 3 5 8 11 NA 0 0
"KAKUMEI(X-Special)" "X" 0 1 83 148 0 NA NA NA NA 14 0 0
"Lift You Up" "X" 1 0 123 123 123 3 4 6 10 NA 0 0
"LOVING YOU (Epidemik remix)" "X" 1 0 165 165 165 3 6 8 11 NA 0 0
"Malacca" "X" 1 1 140 140 140 3 4 7 10 13 0 0
"MAX 300(X-Special)" "X" 0 1 64 300 0 NA NA NA NA 17 0 0
"MAXX UNLIMITED(X-Special)" "X" 0 1 140 320 0 NA NA NA NA 18 0 0
"on the bounce" "X" 1 1 150 150 150 3 7 11 14 16 0 0
"On The Break" "X" 1 0 85 170 0 3 8 10 13 NA 0 0
"PARANOiA ETERNAL(X-Special)" "X" 0 1 200 200 200 NA NA NA NA 13 0 0
"PARANOiA EVOLUTION(X-Special)" "X" 0 1 200 200 200 NA NA NA NA 14 0 0
"PARANOiA MAX~DIRTY MIX~(X-Special)" "X" 0 1 190 190 190 NA NA NA NA 13 0 0
"PARANOiA Rebirth(X-Special)" "X" 0 1 190 190 190 NA NA NA NA 14 0 0
"PARANOiA(X-Special)" "X" 0 1 180 180 180 NA NA NA NA 13 0 0
"Party Lights" "X" 1 0 130 130 130 2 4 6 11 NA 0 0
"Playa (Original Mix)" "X" 1 0 125 125 125 3 4 7 11 NA 0 0
"puzzle" "X" 1 0 135 135 135 3 4 6 8 NA 0 0
"Rin To Shite Saku Hana No Gotoku" "X" 1 0 163 164 163 3 6 8 10 NA 0 0
"SABER WING" "X" 1 1 74 222 0 5 8 10 13 13 0 0
"SABER WING (AKIRA ISHIHARA Headshot mix)" "X" 1 1 79 316 0 6 10 12 15 17 0 0
"SAGA" "X" 1 0 200 244 0 4 7 10 13 NA 0 0
"Slip Out" "X" 1 0 95 95 95 1 3 7 9 NA 0 0
"Slip Out (bounce in beat mix)" "X" 1 0 106 106 106 2 4 6 10 NA 0 0
"SP-TRIP MACHINE~JUNGLE MIX~(X-Special)" "X" 0 1 160 160 160 NA NA NA NA 11 0 0
"SUPER SAMURAI" "X" 1 0 169 171 170 4 8 12 15 NA 0 0
"Taj He Spitz" "X" 1 0 107 108 107 2 4 7 10 NA 0 0
"Taj He Spitz (Tommie Sunshine's Brooklyn Fire Re-Touch)" "X" 1 0 120 120 120 3 5 8 12 NA 0 0
"Take A Chance" "X" 1 0 88 88 88 2 3 6 9 NA 0 0
"The flower in your smile" "X" 1 0 186 187 186 3 6 7 10 NA 0 0
"The legend of MAX(X-Special)" "X" 0 1 83 333 0 NA NA NA NA 17 0 0
"Ticket To Bombay" "X" 1 0 145 145 145 3 5 7 10 NA 0 0
"Till the lonely's gone" "X" 1 0 130 130 130 3 4 8 9 NA 0 0
"TimeHollow" "X" 1 0 94 94 94 2 4 7 9 NA 0 0
"Tracers (4Beat Remix)" "X" 1 0 140 140 140 3 5 7 10 NA 0 0
"Trigger" "X" 1 1 100 400 0 3 9 12 16 18 0 0
"TRIP MACHINE CLIMAX(X-Special)" "X" 0 1 180 180 180 NA NA NA NA 14 0 0
"TRIP MACHINE(X-Special)" "X" 0 1 160 160 160 NA NA NA NA 11 0 0
"Ubertreffen" "X" 1 0 174 175 174 3 6 8 13 NA 0 0
"Waiting 4 u" "X" 1 1 175 176 175 4 6 8 11 11 0 0
"will" "X" 1 0 145 145 145 1 4 7 11 NA 0 0
"ZERO" "X" 1 0 90 180 0 3 5 8 11 NA 0 0
"888" "X2" 1 1 111 444 0 3 6 13 14 18 0 0
"A Brighter Day" "X2" 1 1 155 155 155 2 5 7 9 12 0 0
"aftershock!!" "X2" 1 0 157 157 157 3 5 9 13 NA 0 0
"All My Love" "X2" 1 0 158 159 158 2 5 8 10 NA 0 0
"Anti-Matter" "X2" 1 1 100 400 0 6 11 14 17 18 0 0
"BALLAD THE FEATHERS" "X2" 1 1 132 132 132 1 4 7 10 8 0 0
"CG Project" "X2" 1 0 200 200 200 3 5 9 12 NA 0 0
"Crazy Control" "X2" 1 1 105 105 105 1 4 6 9 12 0 0
"Dazzlin' Darlin" "X2" 1 0 149 149 149 2 6 9 11 NA 0 0
"Dazzlin' Darlin -Akiba Koubou mix-" "X2" 1 0 160 160 160 3 5 8 11 NA 0 0
"Decade" "X2" 1 0 148 148 148 2 5 8 11 NA 0 0
"deltaMAX" "X2" 1 1 100 573 0 3 5 13 17 17 0 0
"dirty digital" "X2" 1 1 140 140 140 1 4 7 11 13 0 0
"DROP" "X2" 1 0 152 153 152 1 4 7 11 NA 0 0
"Dummy" "X2" 1 0 175 176 175 2 4 7 10 NA 0 0
"FIRE FIRE" "X2" 1 0 150 150 150 3 5 8 14 NA 0 0
"Freeze" "X2" 1 1 140 140 140 2 5 8 12 13 0 0
"going up" "X2" 1 1 212 213 212 3 7 10 12 11 0 0
"GOLD RUSH" "X2" 1 0 162 162 162 2 5 8 12 NA 0 0
"Gotta Dance" "X2" 1 0 145 145 145 2 3 6 10 NA 0 0
"Heatstroke" "X2" 1 1 140 140 140 2 6 8 10 8 0 0
"I'm so Happy" "X2" 1 1 181 182 181 3 6 8 12 16 0 0
"in love wit you" "X2" 1 0 148 148 148 1 3 6 9 NA 0 0
"KIMONO PRINCESS" "X2" 1 0 95 190 0 5 8 12 15 NA 0 0
"KISS KISS KISS Akiba Koubou MIX" "X2" 1 0 160 160 160 2 5 8 12 NA 0 0
"La libertad" "X2" 1 1 170 171 170 3 5 9 12 14 0 0
"La receta" "X2" 1 1 130 130 130 3 4 7 11 13 0 0
"Leaving" "X2" 1 1 145 145 145 2 5 8 11 13 0 0
"Love Again" "X2" 1 0 57 70 0 2 4 6 8 NA 0 0
"MAX LOVE" "X2" 1 1 180 180 180 3 6 8 11 13 0 0
"Mei" "X2" 1 1 66 200 0 3 7 11 16 18 0 0
"Melody Life" "X2" 1 1 172 172 172 2 5 7 10 11 0 0
"New Decade" "X2" 1 1 100 400 0 4 11 14 17 18 0 0
"oarfish" "X2" 1 0 140 140 140 1 2 8 11 NA 0 0
"only my railgun" "Removed" 1 1 143 143 143 1 4 6 9 7 0 0
"Pierce The Sky" "X2" 1 1 85 170 0 3 8 11 14 16 0 0
"Pluto The First" "X2" 1 1 50 440 0 8 10 14 17 18 0 0
"Poseidon (kors k mix)" "X2" 1 0 76 152 0 2 5 9 14 NA 0 0
"POSSESSION" "X2" 1 1 185 370 0 7 10 14 17 18 0 0
"real-high-SPEED" "X2" 1 0 131 131 131 2 4 6 8 NA 0 0
"resonance" "X2" 1 0 165 165 165 2 4 8 11 NA 0 0
"roppongi EVOLVED ver. A" "X2" 1 0 170 170 170 6 8 11 15 NA 0 0
"roppongi EVOLVED ver. B" "X2" 1 0 85 170 0 6 8 11 15 NA 0 0
"roppongi EVOLVED ver. C" "X2" 1 0 42 170 0 6 8 11 15 NA 0 0
"roppongi EVOLVED ver. D" "X2" 1 0 85 680 0 6 8 11 15 NA 0 0
"Sacred Oath" "X2" 1 1 170 171 170 2 4 7 11 12 0 0
"sakura storm" "X2" 1 1 184 185 184 2 4 7 10 13 0 0
"Sakura Sunrise" "X2" 1 1 181 181 181 3 7 10 14 16 0 0
"Second Heaven" "X2" 1 1 149 149 149 2 5 9 11 14 0 0
"She is my wife" "X2" 1 0 85 170 0 3 5 7 12 NA 0 0
"Shine" "X2" 1 1 125 125 125 2 4 6 9 12 0 0
"shining" "X2" 1 0 185 186 185 2 5 8 11 NA 0 0
"Shiny World" "X2" 1 1 25 100 0 2 8 11 14 16 0 0
"Sky Is The Limit" "X2" 1 0 150 150 150 2 5 9 12 NA 0 0
"smooooch" "X2" 1 1 177 177 177 2 4 7 12 10 0 0
"someday" "X2" 1 0 154 155 154 2 5 7 9 NA 0 0
"Taking It To The Sky" "X2" 1 0 130 130 130 1 3 5 8 NA 0 0
"Theory of Eternity" "X2" 1 1 160 160 160 3 6 9 12 10 0 0
"THIS NIGHT" "X2" 1 0 160 161 160 2 5 8 11 NA 0 0
"Valkyrie dimension" "X2" 1 1 47 744 0 9 13 15 18 19 0 0
"VANESSA" "X2" 1 0 185 186 185 4 7 11 16 NA 0 0
"WH1TE RO5E" "X2" 1 0 85 170 0 3 5 9 13 NA 0 0
"What Will Come of Me" "X2" 1 0 140 140 140 2 4 6 13 NA 0 0
"YELLOW CANDY" "X2" 1 0 94 188 0 2 6 9 14 NA 0 0
"You are a Star" "X2" 1 1 155 155 155 2 4 8 12 13 0 0
"Your Angel" "X2" 1 0 175 176 175 2 4 7 10 NA 0 0
"ZETA ~The World of Prime Numbers and the Transcendental Being~" "X2" 1 1 90 180 0 3 6 11 15 17 0 0
"Alstroemeria (walk with you remix)" "X3" 1 1 148 148 148 3 6 8 11 13 0 0
"Amalgamation" "X3" 1 1 166 167 166 3 7 10 13 15 0 0
"Beautiful Receipt" "X3" 1 0 196 197 196 4 8 10 13 NA 0 0
"BRILLIANT 2U (AKBK MIX)" "X3" 1 0 162 162 162 3 7 11 15 NA 0 0
"Chronos" "X3" 1 1 128 128 128 1 4 8 12 15 0 0
"COME BACK TO MY HEART" "X3" 1 1 142 142 142 2 5 8 12 6 0 0
"Cosmic Hurricane" "X3" 1 1 188 188 188 3 6 9 13 15 0 0
"CRAZY LOVE" "X3" 1 1 87 177 0 3 6 12 15 18 0 0
"Diamond Dust" "X3" 1 1 148 148 148 1 5 7 10 13 0 0
"dreaming can make a wish come true" "X3" 1 0 143 143 143 2 4 7 11 NA 0 0
"ever snow" "X3" 1 0 145 145 145 2 4 8 12 NA 0 0
"Fever" "X3" 1 0 134 134 134 1 4 7 9 NA 0 0
"Find You Again" "X3" 1 0 150 150 150 3 5 9 12 NA 0 0
"FLOWER" "X3" 1 1 173 173 173 3 7 10 13 15 0 0
"Get Back Up!" "X3" 1 0 155 155 155 2 7 9 12 NA 0 0
"Go For The Top" "X3" 1 1 74 180 0 6 8 12 15 18 0 0
"Haunted Rhapsody" "X3" 1 0 155 155 155 2 5 7 13 NA 0 0
"HEART BEAT FORMULA" "X3" 1 0 230 231 230 4 7 10 13 NA 0 0
"HEARTBREAK (Sound Selektaz remix)" "X3" 1 0 148 148 148 1 4 6 10 NA 0 0
"I-O" "X3" 1 0 151 151 151 2 4 7 11 NA 0 0
"In The Air" "X3" 1 0 140 140 140 4 6 9 11 NA 0 0
"IN THE ZONE" "X3" 1 0 124 124 124 1 4 7 9 NA 0 0
"KEEP ON MOVIN' (Y&Co. DJ BOSS remix)" "X3" 1 0 128 128 128 2 6 9 14 NA 0 0
"Kouen" "X3" 1 1 175 176 175 3 6 9 12 15 0 0
"Let's Get Away" "X3" 1 0 150 150 150 2 4 7 9 NA 0 0
"London EVOLVED Ver.A" "X3" 1 1 43 340 0 5 8 11 14 17 0 0
"London EVOLVED Ver.B" "X3" 1 1 170 420 0 5 8 11 14 17 0 0
"London EVOLVED Ver.C" "X3" 1 1 170 340 0 5 8 11 14 17 0 0
"LOVE IS THE POWER -Reborn-" "X3" 1 0 125 125 125 1 6 7 10 NA 0 0
"MAGIC PARADE" "X3" 1 0 127 127 127 1 4 7 10 NA 0 0
"Mermaid girl" "X3" 1 1 140 140 140 1 4 7 11 12 0 0
"message" "X3" 1 0 152 153 152 1 5 7 11 NA 0 0
"NEPHILIM DELTA" "X3" 1 0 220 221 220 4 8 12 14 NA 0 0
"New Beginning" "X3" 1 1 148 148 148 3 5 9 11 12 0 0
"New York EVOLVED (Type A)" "X3" 1 0 95 380 0 4 9 13 16 NA 0 0
"New York EVOLVED (Type B)" "X3" 1 0 48 190 0 4 9 13 16 NA 0 0
"New York EVOLVED (Type C)" "X3" 1 0 48 190 0 4 9 13 16 NA 0 0
"osaka EVOLVED -MAIDO, OHKINI!- (TYPE1)" "X3" 1 0 50 300 0 9 11 13 15 NA 0 0
"osaka EVOLVED -MAIDO, OHKINI!- (TYPE2)" "X3" 1 0 50 300 0 9 11 13 15 NA 0 0
"osaka EVOLVED -MAIDO, OHKINI!- (TYPE3)" "X3" 1 0 50 300 0 9 11 13 15 NA 0 0
"PARANOiA (kskst mix)" "X3" 1 0 190 190 190 4 9 13 17 NA 0 0
"PARANOiA Revolution" "X3" 1 1 180 360 0 6 10 14 18 19 0 0
"Private Eye" "X3" 1 0 160 160 160 2 4 8 12 NA 0 0
"Programmed Universe" "X3" 1 1 37 147 0 2 5 9 12 16 0 0
"PUT YOUR FAITH IN ME (DA's Twinkly Disco Remix)" "X3" 1 0 115 116 115 1 5 8 13 NA 0 0
"REBORN MAGIC" "X3" 1 0 140 140 140 2 4 7 10 NA 0 0
"Rensen Ryouran" "X3" 1 1 142 142 142 3 6 8 11 15 0 0
"Rescue Me" "X3" 1 0 145 145 145 2 4 8 12 NA 0 0
"Resurrection" "X3" 1 0 140 140 140 2 5 7 10 NA 0 0
"REVOLUTIONARY ADDICT" "X3" 1 1 174 174 174 3 7 10 13 16 0 0
"Rhythms Inside" "X3" 1 0 131 131 131 1 3 7 9 NA 0 0
"Ryouran Hit Chart" "X3" 1 0 192 193 192 2 5 8 13 NA 0 0
"Seasons" "X3" 1 0 168 168 168 2 5 8 12 NA 0 0
"Seule" "X3" 1 0 125 125 125 2 6 10 12 NA 0 0
"Share The Love" "X3" 1 0 158 159 158 2 4 8 12 NA 0 0
"Shizuku" "X3" 1 0 210 211 210 2 5 9 12 NA 0 0
"SigSig" "X3" 1 1 179 179 179 3 6 9 12 10 0 0
"SILVER DREAM" "X3" 1 0 96 193 0 4 8 11 15 NA 0 0
"snow prism" "X3" 1 1 196 197 196 3 6 9 12 16 0 0
"Something Special" "X3" 1 0 95 95 95 2 4 7 11 NA 0 0
"SUMIDAGAWA KARENKA" "X3" 1 1 180 180 180 2 5 10 12 16 0 0
"Take A Step Forward" "X3" 1 1 145 145 145 2 7 9 11 15 0 0
"Tenjou no Hoshi -Reimeiki-" "X3" 1 0 85 170 0 2 5 8 12 NA 0 0
"The Heavens Above" "X3" 1 0 140 140 140 3 7 9 11 NA 0 0
"TIME" "X3" 1 0 115 115 115 1 5 7 9 NA 0 0
"Tohoku EVOLVED" "X3" 1 1 42 1021 0 6 10 14 17 18 0 0
"tokyoEVOLVED (TYPE1)" "X3" 1 0 70 280 0 6 9 13 16 NA 0 0
"tokyoEVOLVED (TYPE2)" "X3" 1 0 70 280 0 6 9 13 16 NA 0 0
"tokyoEVOLVED (TYPE3)" "X3" 1 0 70 280 0 6 9 13 16 NA 0 0
"Tribe" "X3" 1 1 139 139 139 2 5 7 10 13 0 0
"TRIP MACHINE (xac nanoglide mix)" "X3" 1 0 170 171 170 4 8 12 16 NA 0 0
"TRIP MACHINE EVOLUTION" "X3" 1 1 95 380 0 4 9 12 16 18 0 0
"TWINKLE HEART" "X3" 1 1 185 186 185 1 4 7 11 10 0 0
"UNBELIEVABLE (Sparky remix)" "X3" 1 1 88 175 0 4 7 11 15 18 0 0
"Until the End" "X3" 1 0 172 172 172 3 4 9 12 NA 0 0
"Wicked Plastik" "X3" 1 0 145 145 145 3 4 8 13 NA 0 0
"Wings of an Angel (Fly With Me)" "X3" 1 0 175 175 175 2 4 8 12 NA 0 0
"ACROSS WORLD" "2013" 1 1 185 186 185 2 4 8 12 14 0 0
"Ah La La La" "2013" 1 0 130 130 130 1 5 7 12 NA 0 0
"Air Heroes" "2013" 1 1 175 176 175 3 9 11 15 18 0 0
"Another Phase" "2013" 1 1 160 160 160 4 7 11 15 16 0 0
"Back In Your Arms" "2013" 1 0 132 132 132 2 5 8 10 NA 0 0
"Beautiful Dream" "2013" 1 1 182 183 182 3 7 9 12 15 0 0
"Blew My Mind" "2013" 1 1 95 380 0 4 9 12 16 18 0 0
"Bombay Bomb" "2013" 1 0 145 145 145 2 6 10 12 NA 0 0
"Chikuwa parfait da yo CKP" "2013" 1 1 205 205 205 4 7 9 12 14 0 0
"Children of the Beat" "2013" 1 1 160 160 160 3 7 9 11 12 0 0
"Chinese Snowy Dance" "2013" 1 0 175 176 175 4 7 12 16 NA 0 0
"Colorful Pastel" "2013" 1 0 186 186 186 2 6 9 12 NA 0 0
"Condor" "2013" 1 1 142 142 142 2 6 9 13 15 0 0
"Confession" "2013" 1 1 150 150 150 2 4 7 12 14 0 0
"Desert Journey" "2013" 1 1 140 140 140 3 5 8 12 15 0 0
"Diamond Night" "2013" 1 1 135 135 135 3 5 8 12 14 0 0
"Elemental Creation" "2013" 1 1 106 424 0 8 11 14 17 18 0 0
"Empathetic" "2013" 1 0 180 180 180 4 7 11 14 NA 0 0
"escape" "2013" 1 1 140 140 140 3 5 8 10 13 0 0
"Everything I Need" "2013" 1 0 50 100 0 1 4 6 9 NA 0 0
"Find The Way" "2013" 1 0 165 165 165 3 7 10 12 NA 0 0
"GAIA" "2013" 1 0 90 180 0 3 10 13 16 NA 0 0
"heron" "2013" 1 1 182 183 182 3 6 9 12 13 0 0
"Hoping To Be Good" "2013" 1 0 120 120 120 2 5 7 12 NA 0 0
"JOKER" "2013" 1 1 160 160 160 2 4 8 11 14 0 0
"Kiken na kajitsu" "2013" 1 0 174 175 174 2 6 9 13 NA 0 0
"Lucky Lucky" "2013" 1 0 165 165 165 2 7 10 13 NA 0 0
"Magnetic" "2013" 1 1 40 160 0 3 7 11 15 17 0 0
"Meumeupettantan!!" "2013" 1 1 184 185 185 3 6 9 12 16 0 0
"Monkey Business" "2013" 1 1 80 160 0 3 6 9 13 16 0 0
"Nagisa no koakuma lovely~radio" "2013" 1 1 190 190 190 2 6 11 16 9 0 0
"New Generation" "2013" 1 1 190 190 190 4 7 10 14 17 0 0
"New Gravity" "2013" 1 1 154 155 154 3 6 9 12 14 0 0
"nightbird lost wing" "2013" 1 0 190 190 190 3 7 10 14 NA 0 0
"Nijiiro no hana" "2013" 1 0 170 171 170 3 5 8 11 NA 0 0
"Okome no oishii takikata, soshite okome wo taberu koto ni yoru sono kouka" "2013" 1 0 190 190 190 4 8 12 16 NA 0 0
"PRANA" "2013" 1 1 188 188 188 4 8 11 14 16 0 0
"printemps" "2013" 1 0 168 168 168 3 6 10 13 NA 0 0
"Qipchaq" "2013" 1 0 150 150 150 3 5 8 12 NA 0 0
"REVOLUTION" "2013" 1 1 202 202 202 3 7 11 14 17 0 0
"Right on time (Ryu Remix)" "2013" 1 1 149 149 149 2 6 9 14 13 0 0
"Rin to shite saku hana no gotoku ~HinaBitter edition~" "2013" 1 0 163 163 163 3 5 8 11 NA 0 0
"Seiten Bon Voyage" "2013" 1 0 230 231 230 4 7 9 12 NA 0 0
"sola" "2013" 1 0 135 135 135 2 5 9 12 NA 0 0
"Somehow You Found Me" "2013" 1 1 180 180 180 3 6 10 13 16 0 0
"Sousei Note" "2013" 1 0 200 200 200 2 8 10 13 NA 0 0
"south" "2013" 1 1 140 140 140 2 5 8 10 10 0 0
"Spanish Snowy Dance" "2013" 1 1 180 180 180 3 7 11 15 17 0 0
"Starry HEAVEN" "2013" 1 1 190 190 190 2 5 8 10 13 0 0
"Straight Oath" "2013" 1 1 182 182 182 3 8 11 13 15 0 0
"STULTI" "2013" 1 0 90 182 0 4 9 12 15 NA 0 0
"Sucka Luva" "2013" 1 0 118 118 118 1 4 7 11 NA 0 0
"Summer Fairytale" "2013" 1 1 141 141 141 2 5 7 9 14 0 0
"Sweet Rain" "2013" 1 0 155 155 155 3 6 9 12 NA 0 0
"Synergy For Angels" "2013" 1 0 160 160 160 3 7 10 14 NA 0 0
"Tell me what to do" "2013" 1 1 145 145 145 2 5 9 12 14 0 0
"The Island Song" "2013" 1 1 85 85 85 1 3 7 9 13 0 0
"THE REASON" "2013" 1 1 85 98 0 1 4 7 12 15 0 0
"The Wind of Gold" "2013" 1 0 170 171 170 3 6 10 14 NA 0 0
"Top The Charts" "2013" 1 1 160 160 160 3 5 8 12 14 0 0
"Triple Journey -TAG EDITION-" "2013" 1 1 96 192 192 4 8 12 16 18 0 0
"Who Floats" "2013" 1 0 180 180 180 3 6 9 12 NA 0 0
"WILD SIDE" "2013" 1 1 165 165 165 3 6 9 11 13 0 0
"Windy Fairy" "2013" 1 0 180 180 180 2 7 11 15 NA 0 0
"Wow Wow VENUS" "2013" 1 1 157 157 157 2 4 8 11 16 0 0
"You" "2013" 1 0 72 72 72 1 3 6 10 NA 0 0
"Zutto Mitsu Meteite (Ryu Remix)" "2013" 1 1 160 160 160 1 7 9 12 15 0 0
"8000000" "2014" 1 0 100 200 0 4 7 10 14 NA 0 0
"Adularia" "2014" 1 0 180 180 180 3 6 10 14 NA 0 0
"AETHER" "2014" 1 0 192 384 0 6 9 14 17 NA 0 0
"Asa-iro no kami hikouki" "2014" 1 0 132 132 132 2 5 9 13 NA 0 0
"Awa odori -Awaodori- yappari odori wa yame rarenai" "2014" 1 0 120 260 0 5 9 12 14 NA 0 0
"AWAKE" "2014" 1 1 180 180 180 3 5 10 13 16 0 0
"Ayakashi kakushi" "2014" 1 0 85 85 85 4 7 11 14 NA 0 0
"Bakunana Testroyer" "2014" 1 0 200 200 200 4 7 11 13 NA 0 0
"Bamboo Sword Girl" "2014" 1 1 208 208 208 2 7 11 15 18 0 0
"BeBeatStream" "2014" 1 0 184 184 184 4 6 10 13 NA 0 0
"chaos eater" "2014" 1 0 105 210 0 6 8 12 16 NA 0 0
"Chewin' Bunny" "2014" 1 1 180 180 180 3 6 8 10 13 0 0
"Chihou sousei chikuwactics" "2014" 1 0 170 170 170 2 6 10 13 NA 0 0
"Chocolate Smile" "2014" 1 0 196 196 196 3 6 9 12 NA 0 0
"Cleopatrysm" "2014" 1 0 190 190 190 4 7 11 15 NA 0 0
"Crimson Gate" "2014" 1 0 198 198 198 3 7 10 13 NA 0 0
"Daily Lunch Special" "2014" 1 0 205 205 205 3 7 10 14 NA 0 0
"Dance Partay" "2014" 1 1 135 135 135 2 5 7 11 13 0 0
"Deadball de homerun" "2014" 1 0 145 145 145 3 6 9 13 NA 0 0
"Destination" "2014" 1 0 85 170 0 4 9 12 15 NA 0 0
"Din Don Dan" "2014" 1 1 140 140 140 2 5 7 10 12 0 0
"Dispersion Star" "2014" 1 0 180 180 180 3 5 9 13 NA 0 0
"Do The Evolution" "2014" 1 0 148 148 148 1 4 7 10 NA 0 0
"Dokidoki ryuusei trap girl!!" "2014" 1 0 140 140 140 3 6 9 14 NA 0 0
"Dopamine" "2014" 1 0 100 400 0 7 10 13 17 NA 0 0
"Dreamin'" "2014" 1 1 128 128 128 2 4 6 9 12 0 0
"EGOISM 440" "2014" 1 1 55 880 0 9 10 13 18 19 0 0
"Electronic or Treat!" "2014" 1 0 142 190 0 3 7 12 15 NA 0 0
"Elysium" "2014" 1 1 145 145 145 1 5 8 11 13 0 0
"Endorphin" "2014" 1 0 160 160 160 4 8 12 15 NA 0 0
"Engraved Mark" "2014" 1 0 188 188 188 3 8 12 15 NA 0 0
"esreveR" "2014" 1 0 155 155 155 2 5 9 13 NA 0 0
"Follow Tomorrow" "2014" 1 1 140 140 140 2 5 8 11 14 0 0
"FUJIMORI -Matsuri- FESTIVAL" "2014" 1 0 158 158 158 3 5 9 12 NA 0 0
"FUNKY SUMMER BEACH" "2014" 1 0 88 175 0 3 6 10 14 NA 0 0
"Gekiatsu majiyaba cheer girl" "2014" 1 0 170 170 170 3 6 9 13 NA 0 0
"Gensoukei sekai shuufuku shoujo" "2014" 1 0 193 193 193 3 6 9 12 NA 0 0
"Go Go Girls&Boys!" "2014" 1 0 158 158 158 3 5 8 11 NA 0 0
"Habibe(Antuh muhleke)" "2014" 1 0 144 144 144 3 5 10 13 NA 0 0
"Hanamaru pippi wa yoiko dake" "2014" 1 0 172 172 172 4 7 10 12 NA 0 0
"HAPPY LUCKY YEAPPY" "2014" 1 0 190 380 0 6 10 13 16 NA 0 0
"HEART BEAT FORMULA (Vinyl Mix)" "2014" 1 0 115 115 115 4 8 11 13 NA 0 0
"Home neko sensation" "2014" 1 0 200 200 200 4 6 10 13 NA 0 0
"Hoshikuzu no kiroku" "2014" 1 0 182 182 182 3 6 9 11 NA 0 0
"HYENA" "2014" 1 0 89 178 0 3 6 10 14 NA 0 0
"Idola" "2014" 1 1 201 201 201 3 8 12 16 17 0 0
"IMANOGUILTS" "2014" 1 1 184 184 184 4 8 11 14 15 0 0
"In The Breeze" "2014" 1 0 142 142 142 3 5 9 11 NA 0 0
"IX" "2014" 1 1 99 396 0 5 11 14 17 18 0 0
"JOMANDA" "2014" 1 1 90 270 0 4 8 12 15 17 0 0
"KHAMEN BREAK" "2014" 1 0 90 180 0 3 7 11 16 NA 0 0
"Koi hadou Moro Hadou OK Houteishiki!!" "2014" 1 0 128 256 0 4 7 11 14 NA 0 0
"LoveLove DokiDoki" "2014" 1 0 160 160 160 2 6 10 12 NA 0 0
"Luckgakist" "2014" 1 1 199 199 199 4 7 10 13 16 0 0
"M.A.Y.U" "2014" 1 0 128 128 128 2 6 8 13 NA 0 0
"Maware! Setsugetsuka" "Removed" 1 1 160 160 160 2 5 8 11 13 0 0
"MAX.(period)" "2014" 1 1 150 600 0 5 12 14 16 18 0 0
"Metsubou tenshi nikokyuppin" "2014" 1 0 200 200 200 4 6 9 12 NA 0 0
"Mind Game" "2014" 1 0 180 180 180 3 7 10 14 NA 0 0
"Mirai prism" "2014" 1 0 140 140 140 2 4 7 10 NA 0 0
"MITOrete! Ibarakisshuda~rin" "2014" 1 0 173 173 173 2 6 9 13 NA 0 0
"Nageki no ki" "2014" 1 1 160 160 160 4 8 12 16 18 0 0
"neko neko" "2014" 1 1 123 123 123 2 5 9 11 14 0 0
"Nostalgia Is Lost" "2014" 1 0 172 172 172 3 7 11 15 NA 0 0
"One Sided Love" "2014" 1 1 140 140 140 2 5 8 10 12 0 0
"Onna kotoba no shoushitsu" "2014" 1 0 136 136 136 3 6 9 13 NA 0 0
"Osenju meditation" "2014" 1 0 150 190 0 4 8 12 15 NA 0 0
"Otome no shinkocchou" "2014" 1 0 180 180 180 3 6 9 12 NA 0 0
"Otome ryouran mai sakihokore" "2014" 1 0 210 210 210 4 7 10 13 NA 0 0
"Over The Period" "2014" 1 1 22 840 0 8 12 15 18 19 0 0
"Pa pi pu Yeah!" "2014" 1 0 160 160 160 3 5 10 13 NA 0 0
"Party Lights (Tommie Sunshine's Brooklyn Fire Remix)" "2014" 1 0 130 130 130 2 5 8 11 NA 0 0
"Plan 8" "2014" 1 0 212 212 212 4 8 11 14 NA 0 0
"POSSESSION(EDP Live Mix)" "2014" 1 0 185 185 185 3 9 12 16 NA 0 0
"PRANA+REVOLUTIONARY ADDICT (U1 DJ Mix)" "2014" 1 0 190 190 190 5 9 13 17 NA 0 0
"PUNISHER" "2014" 1 0 180 180 180 3 6 11 14 NA 0 0
"Remain" "2014" 1 0 75 300 0 5 9 12 15 NA 0 0
"Romancing Layer" "2014" 1 0 150 150 150 2 6 11 14 NA 0 0
