"song" "mix" "expert" "chal" "bpm_min" "bpm_max" "static_bpm" "gSP" "BSP" "DSP" "ESP" "CSP" "event" "gold"
"Let the beat hit em!(CLASSIC R&B STYLE)" "6thMIX MAX" 1 0 102 102 102 3 6 7 10 NA 0 0
"MAX 300" "6thMIX MAX" 1 0 64 303 300 5 9 12 15 NA 0 0
"ORION.78~civilization mix~" "6thMIX MAX" 1 0 200 201 200 4 9 12 13 NA 0 0
"AFRONOVA(FROM NONSTOP MEGAMIX)" "7thMIX MAX2" 0 1 200 200 200 NA NA NA NA 10 0 0
"AM-3P (AM EAST mix)" "7thMIX MAX2" 0 1 140 140 140 NA NA NA NA 10 0 0
"B4U(B4 ZA BEAT MIX)" "7thMIX MAX2" 0 1 170 171 170 NA NA NA NA 10 0 0
"BREAK DOWN!" "7thMIX MAX2" 1 0 190 190 190 3 5 8 12 NA 0 0
"BRILLIANT 2U(K.O.G G3 MIX)" "7thMIX MAX2" 0 1 170 171 170 NA NA NA NA 10 0 0
"BURNIN' THE FLOOR (BLUE FIRE mix)" "7thMIX MAX2" 0 1 155 155 155 NA NA NA NA 10 0 0
"BURNING HEAT! (3 Option MIX)" "7thMIX MAX2" 1 0 166 167 166 3 4 8 13 NA 0 0
"CANDY HEART" "7thMIX MAX2" 1 0 180 180 180 4 5 7 10 NA 0 0
"CELEBRATE NITE(EURO TRANCE STYLE)" "7thMIX MAX2" 0 1 144 144 144 NA NA NA NA 11 0 0
"D2R" "7thMIX MAX2" 1 0 160 160 160 3 4 7 11 NA 0 0
"DESTINY" "7thMIX MAX2" 1 0 155 155 155 3 3 7 10 NA 0 0
"DIVE TO THE NIGHT" "7thMIX MAX2" 1 0 155 155 155 3 4 8 11 NA 0 0
"DROP OUT(FROM NONSTOP MEGAMIX)" "7thMIX MAX2" 0 1 130 130 130 NA NA NA NA 12 0 0
"ECSTASY (midnight blue mix)" "7thMIX MAX2" 0 1 145 145 0 NA NA NA NA 11 0 0
"HIGHER (next morning mix)" "7thMIX MAX2" 0 1 132 132 132 NA NA NA NA 11 0 0
"HYSTERIA 2001" "7thMIX MAX2" 0 1 190 190 190 NA NA NA NA 10 0 0
"i feel" "7thMIX MAX2" 1 0 141 141 141 3 4 8 12 NA 0 0
"KAKUMEI" "7thMIX MAX2" 1 1 83 148 0 3 5 9 12 11 0 0
